actions known	actions performed	environment knowledeg	levels cleared	score
8	225	1	0	200.0
8	321	1	0	150.0
8	577	1	0	250.0
8	231	1	0	50.0
8	266	1	0	200.0
8	336	1	0	200.0
8	323	1	0	250.0
8	406	1	0	350.0
8	277	1	0	150.0
8	232	1	0	100.0
8	204	1	0	50.0
8	215	1	0	50.0
8	219	1	0	0.0
8	391	1	0	200.0
8	301	1	0	50.0
8	244	1	0	0.0
8	260	1	0	100.0
8	298	1	0	150.0
8	306	1	0	100.0
8	456	1	0	300.0
